0,1,-0.483557
0,2,-0.856701
0,3,-0.004997
0,4,-0.681200
0,5,-0.043629
0,6,-0.154166
0,7,-0.410757
0,8,-1.121108
0,9,-0.653367
1,0,-0.483557
1,2,-0.060049
1,3,-0.392432
1,4,-0.379292
1,5,-0.752121
1,6,-0.552408
1,7,-0.270892
1,8,-0.132495
1,9,-0.439840
2,0,-0.856701
2,1,-0.060049
2,3,-0.737332
2,4,-0.381641
2,5,-1.172500
2,6,-0.822858
2,7,-0.530880
2,8,-0.033844
2,9,-0.464551
3,0,-0.004997
3,1,-0.392432
3,2,-0.737332
3,4,-0.626008
3,5,-0.074909
3,6,-0.162204
3,7,-0.340185
3,8,-0.979047
3,9,-0.607918
4,0,-0.681200
4,1,-0.379292
4,2,-0.381641
4,3,-0.626008
4,5,-0.748414
4,6,-0.299252
4,7,-1.137007
4,8,-0.636546
4,9,-0.005081
5,0,-0.043629
5,1,-0.752121
5,2,-1.172500
5,3,-0.074909
5,4,-0.748414
5,6,-0.115118
5,7,-0.720473
5,8,-1.513707
5,9,-0.691489
6,0,-0.154166
6,1,-0.552408
6,2,-0.822858
6,3,-0.162204
6,4,-0.299252
6,5,-0.115118
6,7,-0.865217
6,8,-1.164669
6,9,-0.254171
7,0,-0.410757
7,1,-0.270892
7,2,-0.530880
7,3,-0.340185
7,4,-1.137007
7,5,-0.720473
7,6,-0.865217
7,8,-0.560120
7,9,-1.195726
8,0,-1.121108
8,1,-0.132495
8,2,-0.033844
8,3,-0.979047
8,4,-0.636546
8,5,-1.513707
8,6,-1.164669
8,7,-0.560120
8,9,-0.744853
9,0,-0.653367
9,1,-0.439840
9,2,-0.464551
9,3,-0.607918
9,4,-0.005081
9,5,-0.691489
9,6,-0.254171
9,7,-1.195726
9,8,-0.744853
