0,1,-0.483557
0,2,-0.856701
0,3,-0.004997
0,7,-0.410757
1,2,-0.060049
1,3,-0.392432
1,4,-0.379292
1,6,-0.552408
1,8,-0.132495
1,9,-0.439840
2,0,-0.856701
2,1,-0.060049
2,6,-0.822858
2,9,-0.464551
3,0,-0.004997
3,5,-0.074909
3,6,-0.162204
3,9,-0.607918
4,3,-0.626008
4,7,-1.137007
4,8,-0.636546
5,0,-0.043629
5,1,-0.752121
5,3,-0.074909
5,8,-1.513707
5,9,-0.691489
6,1,-0.552408
6,5,-0.115118
6,8,-1.164669
7,0,-0.410757
7,1,-0.270892
7,3,-0.340185
7,4,-1.137007
7,9,-1.195726
8,0,-1.121108
8,5,-1.513707
8,9,-0.744853
9,1,-0.439840
9,2,-0.464551
9,5,-0.691489
9,8,-0.744853
